#plate mjd fiberid run2d specobj_id ra dec sn_median_r z zerr zwarning class subclass
#BLL
6060 56074 722 v5_13_0 6823151999221256192 14:28:32.61 +42:40:21.07 42.27 0.129252 3.5E-05 0 GALAXY xxx
7852 56987 86 v5_13_0 8840589825252020224 00:06:26.93 +01:36:10.37 10.01 1.11907 0.272326 0 QSO xxx
8512 57903 314 v5_13_0 -8862997622410686464 15:39:25.67 +42:17:28.29 20.0 1.38646 3.75666 0 QSO xxx
9168 58067 103 v5_13_0 -8124465280008826880 22:23:29.57 +01:02:26.67 22.42 1.24 1.9E-05 0 QSO xxx
#FSRQ
475 51965 81 26 534824753827964928 09:30:52.25 +00:34:58.93 7.57 1.7696 0.000442 0 QSO BROADLINE
519 52283 523 26 584485851099064320 12:24:52.42 +03:30:50.46 15.05 0.956261 0.000132 0 QSO BROADLINE
567 52252 217 26 638444933467891712 09:14:37.92 +02:45:59.24 7.94 0.426622 3.9E-05 0 QSO BROADLINE
578 52339 40 26 650781180513249280 10:50:10.06 +04:32:49.15 22.82 1.21581 0.000198 0 QSO BROADLINE
815 52374 614 26 917777238940739584 16:25:53.31 +43:47:13.89 15.99 1.04558 0.000232 0 QSO BROADLINE
838 52378 35 26 943513782557108224 11:45:21.32 +04:55:26.73 7.9 1.33867 0.000459 0 QSO BROADLINE
846 52407 161 26 952555616914663424 12:39:32.76 +04:43:05.24 4.5 1.76064 0.000776 0 QSO BROADLINE
914 52721 496 26 1029208899946833920 13:54:06.90 -02:06:03.22 7.58 3.71985 0.000507 0 QSO BROADLINE
997 52734 97 26 1122548916148004864 10:18:27.85 +05:30:30.00 9.56 1.94766 0.000638 0 QSO BROADLINE
3819 55540 186 v5_13_0 4299862964469780480 09:09:10.09 +01:21:35.67 54.45 1.02422 0.000218 0 QSO BROADLINE
4036 55330 112 v5_13_0 4544162899766300672 13:59:27.15 +01:59:54.63 28.04 1.32916 0.000248 0 QSO BROADLINE
4202 55445 836 v5_13_0 4731261297836183552 22:26:46.54 +00:52:11.32 3.12 2.26297 0.000758 0 QSO xxx
4217 55478 946 v5_13_0 4748180033562234880 00:11:30.40 +00:57:51.80 11.34 1.49096 0.000441 0 QSO BROADLINE
4218 55479 120 v5_13_0 4749078884334718976 00:16:11.09 -00:15:12.41 10.48 1.5765 0.000296 0 QSO BROADLINE
4226 55475 268 v5_13_0 4758126765452578816 01:08:26.85 -00:37:24.21 39.86 1.3753 0.00024 0 QSO BROADLINE
4228 55484 68 v5_13_0 4760323589835870208 01:25:17.15 -00:18:28.85 22.2 2.2784 0.0001 0 QSO BROADLINE
4747 55652 899 v5_13_0 5344894067846434816 12:04:51.68 +04:08:14.12 3.83 1.94779 0.000383 0 QSO BROADLINE
4751 55646 776 v5_13_0 5349363857390587904 12:22:22.55 +04:13:15.76 33.77 0.966322 8.9E-05 0 QSO BROADLINE
4801 55653 960 v5_13_0 5405709430385037312 10:16:03.13 +05:13:02.38 2.44 1.701 0.000603 0 QSO BROADLINE
5164 56067 766 v5_13_0 5814357777200730112 15:20:39.69 +42:11:11.18 17.29 0.484745 5.2E-05 0 QSO STARBURST BROADLINE
6040 56101 212 v5_13_0 6800493813804847104 15:21:49.61 +43:36:39.29 15.21 2.1697 0.000188 0 QSO BROADLINE
7859 57282 340 v5_13_0 8848540948537561088 01:08:38.77 +01:35:00.28 39.14 2.10858 0.000339 0 QSO BROADLINE
7875 56980 884 v5_13_0 8866704875561701376 01:15:17.10 -01:27:04.53 33.31 1.37085 0.000127 0 QSO BROADLINE
9156 58039 10 v5_13_0 -8138001643006046208 23:35:20.41 -01:31:09.58 22.73 1.18904 0.000149 0 QSO BROADLINE
9156 58039 118 v5_13_0 -8137971956192096256 23:33:16.69 -01:31:07.37 20.93 1.05991 0.000297 0 QSO BROADLINE
9321 58069 187 v5_13_0 -7952179504484167680 02:02:39.93 -03:02:07.92 18.05 1.34594 0.000382 0 QSO BROADLINE
